"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
3483, 2.217475175857540e-01, 5.476229265332220e-02, 2.409619000815266e+04, -1.017800461496896e+00, 4.438738572473729e-03, 4.185069866550913e-04, -7.846340222794329e+02
3457, 2.117756903171540e-01, 5.379525944590570e-02, 2.412789976437637e+04, -1.015602392750947e+00, 4.468638814686513e-03, 4.404107908146990e-04, -7.899250191509019e+02
3431, 2.020680904388430e-01, 5.282276868820190e-02, 2.413131492987715e+04, -1.015365659030998e+00, 4.512383169206770e-03, 4.634138872860815e-04, -8.033044898495018e+02
3405, 1.926559209823610e-01, 5.183169245719910e-02, 2.413301734818452e+04, -1.015247650161817e+00, 4.553233680971873e-03, 4.870197795054961e-04, -8.186424714759595e+02
3379, 1.835020482540130e-01, 5.083692073822020e-02, 2.412847105492526e+04, -1.015562791818933e+00, 4.596826774332167e-03, 5.100716810099784e-04, -8.377373720600160e+02
3353, 1.746245622634890e-01, 4.983090236783030e-02, 2.415237425445047e+04, -1.013905860890992e+00, 4.639630096869955e-03, 5.370939609089218e-04, -8.582078373641548e+02
3327, 1.660248339176180e-01, 4.881371930241580e-02, 2.417994331070321e+04, -1.011994818734852e+00, 4.674459999645340e-03, 5.625925955836326e-04, -8.794055532312747e+02
3301, 1.576814949512480e-01, 4.779172688722610e-02, 2.426513005386678e+04, -1.006089812200079e+00, 4.711344828913477e-03, 5.949345717605987e-04, -8.998864969323350e+02
3275, 1.496536135673520e-01, 4.674641042947770e-02, 2.441206021999097e+04, -9.959048519715553e-01, 4.735731059947415e-03, 6.313815246195877e-04, -9.103298524645667e+02
3249, 1.419069468975070e-01, 4.568861797451970e-02, 2.456398271992882e+04, -9.853738312798807e-01, 4.734577097980447e-03, 6.629088532456343e-04, -9.120841179782369e+02
3223, 1.344466507434840e-01, 4.461721703410150e-02, 2.473317343237200e+04, -9.736458061729536e-01, 4.711680872427343e-03, 6.942584815465320e-04, -9.090422663214367e+02
3197, 1.272729039192200e-01, 4.353231564164160e-02, 2.487881443264525e+04, -9.635502088252190e-01, 4.680420654665167e-03, 7.226736517513605e-04, -9.034724958071598e+02
3171, 1.203565001487730e-01, 4.244164749979970e-02, 2.493471902800798e+04, -9.596749931674629e-01, 4.690272348730571e-03, 7.510737598558063e-04, -9.049154914199256e+02
3145, 1.136637628078460e-01, 4.135302454233170e-02, 2.492869223267802e+04, -9.600927608210381e-01, 4.733729503474376e-03, 7.843320437306600e-04, -9.204380773113136e+02
3119, 1.072062253952030e-01, 4.026277735829350e-02, 2.495482407426623e+04, -9.582813440487391e-01, 4.762482129443900e-03, 8.238105765308580e-04, -9.346055956123490e+02
3093, 1.010102331638340e-01, 3.916422650218010e-02, 2.496381348944080e+04, -9.576582124043275e-01, 4.788220509533493e-03, 8.614379249253171e-04, -9.469950244209109e+02
3067, 9.501701593399051e-02, 3.806984424591060e-02, 2.496511699389204e+04, -9.575678555950771e-01, 4.804963962741248e-03, 8.998640380842037e-04, -9.597636484178646e+02
3041, 8.928063511848450e-02, 3.696753084659580e-02, 2.497891019997516e+04, -9.566117329751536e-01, 4.800634748906046e-03, 9.393652937844275e-04, -9.662412072294750e+02
3015, 8.375442028045650e-02, 3.586603328585620e-02, 2.493113304960474e+04, -9.599235673600931e-01, 4.818100943248159e-03, 9.782907180222937e-04, -9.739298964556640e+02
2989, 7.843562960624691e-02, 3.476550802588460e-02, 2.485386074118458e+04, -9.652799581461782e-01, 4.846997868534364e-03, 1.022374891029887e-03, -9.890751872233468e+02
2963, 7.332068681716920e-02, 3.366525098681450e-02, 2.473404631877610e+04, -9.735852991066084e-01, 4.898092302481450e-03, 1.070581133061980e-03, -1.011383944999843e+03
2937, 6.838649511337280e-02, 3.256905823946000e-02, 2.461586369519809e+04, -9.817775264251789e-01, 4.929400028649015e-03, 1.119602986465257e-03, -1.029812826927677e+03
2911, 6.365954875946039e-02, 3.147093951702120e-02, 2.447462207387487e+04, -9.915681659768509e-01, 4.968881632204902e-03, 1.171360130684400e-03, -1.051989941705249e+03
2885, 5.909299850463870e-02, 3.037821687757970e-02, 2.426921889858469e+04, -1.005806380132104e+00, 5.056527627131829e-03, 1.231668336588662e-03, -1.091786202408391e+03
