"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
3483, 2.217475175857540e-01, 5.476229265332220e-02, 2.409607720051394e+04, -1.017808281139003e+00, 4.438697503718543e-03, 4.185031144826940e-04
3457, 2.117756903171540e-01, 5.379525944590570e-02, 2.412778730361893e+04, -1.015610188347808e+00, 4.468596409584818e-03, 4.404066115410664e-04
3431, 2.020680904388430e-01, 5.282276868820190e-02, 2.413120269571174e+04, -1.015373438920868e+00, 4.512339252629554e-03, 4.634093771301393e-04
3405, 1.926559209823610e-01, 5.183169245719910e-02, 2.413290455119747e+04, -1.015255469065568e+00, 4.553188958982180e-03, 4.870149959834795e-04
3379, 1.835020482540130e-01, 5.083692073822020e-02, 2.412835630421919e+04, -1.015570746151310e+00, 4.596782706029285e-03, 5.100667911164858e-04
3353, 1.746245622634890e-01, 4.983090236783030e-02, 2.415225579379903e+04, -1.013914072390750e+00, 4.639587171019587e-03, 5.370889917164391e-04
3327, 1.660248339176180e-01, 4.881371930241580e-02, 2.417981937407028e+04, -1.012003409820743e+00, 4.674418383162983e-03, 5.625875868500397e-04
3301, 1.576814949512480e-01, 4.779172688722610e-02, 2.426499871432333e+04, -1.006098916443692e+00, 4.711304475182344e-03, 5.949294760118002e-04
3275, 1.496536135673520e-01, 4.674641042947770e-02, 2.441191939738630e+04, -9.959146135655532e-01, 4.735691640580114e-03, 6.313762691141734e-04
3249, 1.419069468975070e-01, 4.568861797451970e-02, 2.456383067526327e+04, -9.853843707688938e-01, 4.734538443154478e-03, 6.629034410143359e-04
3223, 1.344466507434840e-01, 4.461721703410150e-02, 2.473300821448852e+04, -9.736572588080161e-01, 4.711643666144422e-03, 6.942529992615080e-04
3197, 1.272729039192200e-01, 4.353231564164160e-02, 2.487863348438470e+04, -9.635627518644446e-01, 4.680386244214568e-03, 7.226683386549899e-04
3171, 1.203565001487730e-01, 4.244164749979970e-02, 2.493452058968747e+04, -9.596887485892088e-01, 4.690242016209851e-03, 7.510689025770197e-04
3145, 1.136637628078460e-01, 4.135302454233170e-02, 2.492847552502969e+04, -9.601077826428847e-01, 4.733704932804733e-03, 7.843279726143189e-04
3119, 1.072062253952030e-01, 4.026277735829350e-02, 2.495458884252436e+04, -9.582976499306329e-01, 4.762464918091757e-03, 8.238075993241101e-04
3093, 1.010102331638340e-01, 3.916422650218010e-02, 2.496356097312416e+04, -9.576757164248416e-01, 4.788211315730112e-03, 8.614362708889397e-04
3067, 9.501701593399051e-02, 3.806984424591060e-02, 2.496485055670167e+04, -9.575863245879251e-01, 4.804960617505209e-03, 8.998634115950909e-04
3041, 8.928063511848450e-02, 3.696753084659580e-02, 2.497863433401266e+04, -9.566308555551561e-01, 4.800638299130727e-03, 9.393659884754476e-04
3015, 8.375442028045650e-02, 3.586603328585620e-02, 2.493085340999875e+04, -9.599429515229267e-01, 4.818109070769673e-03, 9.782923682739074e-04
2989, 7.843562960624691e-02, 3.476550802588460e-02, 2.485358209719566e+04, -9.652992732944553e-01, 4.847008338055377e-03, 1.022377099360837e-03
2963, 7.332068681716920e-02, 3.366525098681450e-02, 2.473377118443836e+04, -9.736043709715720e-01, 4.898103990283766e-03, 1.070583687677098e-03
2937, 6.838649511337280e-02, 3.256905823946000e-02, 2.461559280822979e+04, -9.817963038693981e-01, 4.929412782462297e-03, 1.119605883208746e-03
2911, 6.365954875946039e-02, 3.147093951702120e-02, 2.447435596016323e+04, -9.915866125466797e-01, 4.968895462538189e-03, 1.171363391035965e-03
2885, 5.909299850463870e-02, 3.037821687757970e-02, 2.426895906588667e+04, -1.005824391312280e+00, 5.056541895783735e-03, 1.231671812145023e-03
2859, 5.469727516174320e-02, 2.928791008889680e-02, 2.410725694424726e+04, -1.017033319480056e+00, 5.136852710351267e-03, 1.303357291918395e-03
2833, 5.049252510070800e-02, 2.819604612886910e-02, 2.397884781671476e+04, -1.025934431425935e+00, 5.195005653884047e-03, 1.376013034655670e-03
